PING 138.197.150.173 (138.197.150.173) 56(84) bytes of data.
64 bytes from 138.197.150.173: icmp_seq=1 ttl=64 time=0.060 ms
64 bytes from 138.197.150.173: icmp_seq=2 ttl=64 time=0.088 ms
64 bytes from 138.197.150.173: icmp_seq=3 ttl=64 time=0.083 ms
64 bytes from 138.197.150.173: icmp_seq=4 ttl=64 time=0.083 ms
64 bytes from 138.197.150.173: icmp_seq=5 ttl=64 time=0.086 ms
64 bytes from 138.197.150.173: icmp_seq=6 ttl=64 time=0.088 ms
64 bytes from 138.197.150.173: icmp_seq=7 ttl=64 time=0.085 ms
64 bytes from 138.197.150.173: icmp_seq=8 ttl=64 time=0.099 ms
64 bytes from 138.197.150.173: icmp_seq=9 ttl=64 time=0.101 ms
64 bytes from 138.197.150.173: icmp_seq=10 ttl=64 time=0.078 ms
64 bytes from 138.197.150.173: icmp_seq=11 ttl=64 time=0.097 ms
64 bytes from 138.197.150.173: icmp_seq=12 ttl=64 time=0.094 ms
64 bytes from 138.197.150.173: icmp_seq=13 ttl=64 time=0.070 ms
64 bytes from 138.197.150.173: icmp_seq=14 ttl=64 time=0.095 ms
64 bytes from 138.197.150.173: icmp_seq=15 ttl=64 time=0.085 ms
64 bytes from 138.197.150.173: icmp_seq=16 ttl=64 time=0.094 ms
64 bytes from 138.197.150.173: icmp_seq=17 ttl=64 time=0.108 ms
64 bytes from 138.197.150.173: icmp_seq=18 ttl=64 time=0.105 ms
