], seq 210488:210832, ack 109, win 333, length 344
17:59:29.768837 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 207392, win 512, length 0
17:59:29.768971 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 210832:211228, ack 109, win 333, length 396
17:59:29.769092 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 211228:211400, ack 109, win 333, length 172
17:59:29.769196 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 211400:211572, ack 109, win 333, length 172
17:59:29.769323 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 211572:211744, ack 109, win 333, length 172
17:59:29.769465 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 210488, win 512, length 0
17:59:29.769558 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 211744:211916, ack 109, win 333, length 172
17:59:29.769688 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 211916:212200, ack 109, win 333, length 284
17:59:29.769812 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 212200:212372, ack 109, win 333, length 172
17:59:29.769969 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 212372:212544, ack 109, win 333, length 172
17:59:29.770067 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 109:145, ack 210488, win 512, length 36
17:59:29.770241 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 212544:212844, ack 145, win 333, length 300
17:59:29.770411 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 212844:213016, ack 145, win 333, length 172
17:59:29.770573 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213016:213188, ack 145, win 333, length 172
17:59:29.770701 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213188:213360, ack 145, win 333, length 172
17:59:29.770824 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213360:213532, ack 145, win 333, length 172
17:59:29.770981 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213532:213704, ack 145, win 333, length 172
17:59:29.771140 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213704:213876, ack 145, win 333, length 172
17:59:29.771300 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 213876:214048, ack 145, win 333, length 172
17:59:29.771459 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214048:214220, ack 145, win 333, length 172
17:59:29.771616 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214220:214392, ack 145, win 333, length 172
17:59:29.771777 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214392:214564, ack 145, win 333, length 172
17:59:29.771941 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214564:214736, ack 145, win 333, length 172
17:59:29.772099 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214736:214908, ack 145, win 333, length 172
17:59:29.772258 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 214908:215080, ack 145, win 333, length 172
17:59:29.772425 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215080:215252, ack 145, win 333, length 172
17:59:29.772578 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215252:215424, ack 145, win 333, length 172
17:59:29.772722 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215424:215596, ack 145, win 333, length 172
17:59:29.772833 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215596:215768, ack 145, win 333, length 172
17:59:29.772952 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215768:215940, ack 145, win 333, length 172
17:59:29.772970 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 213532, win 512, length 0
17:59:29.773108 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 215940:216224, ack 145, win 333, length 284
17:59:29.773216 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 216224:216396, ack 145, win 333, length 172
17:59:29.773326 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 216396:216568, ack 145, win 333, length 172
17:59:29.773457 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 216568:216740, ack 145, win 333, length 172
17:59:29.773562 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 216740:216912, ack 145, win 333, length 172
17:59:29.773664 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 216912:217084, ack 145, win 333, length 172
17:59:29.773772 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217084:217256, ack 145, win 333, length 172
17:59:29.773874 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217256:217428, ack 145, win 333, length 172
17:59:29.773975 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217428:217600, ack 145, win 333, length 172
17:59:29.774076 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217600:217772, ack 145, win 333, length 172
17:59:29.774178 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217772:217944, ack 145, win 333, length 172
17:59:29.774278 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 217944:218116, ack 145, win 333, length 172
17:59:29.774350 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 215080, win 512, length 0
17:59:29.774457 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 218116:218400, ack 145, win 333, length 284
17:59:29.774569 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 218400:218572, ack 145, win 333, length 172
17:59:29.774671 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 218572:218744, ack 145, win 333, length 172
